,ra,dec,Vmag,plx,sy_dist,name
87,270.96852085459,-24.36073118167,5.97,0.8001,1249.843769528809,* 9 Sgr                            
88,250.70532973933993,39.77735009936,5.43,0.8038,1244.090569793481,USNO-A2.0 1275-09035765            
89,121.06745629748997,-32.674830429619995,5.12,0.8126,1230.6177701206004,V* MZ Pup                          
90,267.54629914228997,-40.09043182076,4.803,0.8148,1227.2950417280315,* iot02 Sco                        
91,109.66824556403999,-24.55869951348,4.95,0.8549,1169.7274535033337,* 29 CMa                           
92,281.68051754732994,-10.12504481494,5.717,0.8564,1167.6786548341897,HD 173638                          
93,307.33495893987,36.45472714614,5.899,0.857,1166.8611435239206,* 42 Cyg                           
94,80.00383791341999,33.9580541273,5.03,0.8596,1163.3317822242902,* 19 Aur                           
95,89.49857057937459,25.95391216765111,4.82,0.8615,1160.7661056297154,* 139 Tau                          
96,297.65552823099995,40.599759761570006,5.68,0.8673,1153.0035743110805,V* V380 Cyg                        
97,105.75613058900541,-23.833293974200277,3.02,0.8715,1147.4469305794605,* omi02 CMa                        
98,258.2439912290399,-32.43833166031,5.997,0.8723,1146.3945890175398,HD 155450                          
99,291.62953857499997,0.33857080494999997,4.72,0.8752,1142.5959780621572,* nu. Aql                          
100,273.80377637135996,-20.728268777879997,5.37,0.8769,1140.3808872163302,* 15 Sgr                           
101,308.47578371563,35.25084417968,4.636,0.8792,1137.3976342129208,* 47 Cyg                           
102,251.83190973418002,-58.34144420074,5.61,0.8809,1135.2026336701101,HD 150898                          
103,330.51905261261,58.00036382181,5.542,0.907,1102.5358324145534,* 14 Cep                           
104,83.18197656842207,32.19202236863777,4.79,0.9087,1100.4732034774954,* chi Aur                          
105,328.7214745337199,56.611226395820005,5.8,0.9126,1095.7703265395573,* 13 Cep                           
106,227.37464344722997,-67.08413478493999,5.757,0.9223,1084.245906971701,HD 133683                          
107,256.20563190364,-34.12292824455,4.87,0.9235,1082.8370330265295,* k Sco                            
108,52.478098350379994,58.87874913344,4.54,0.9303,1074.9220681500592,HD 21389                           
109,326.36218806842993,61.12080560639389,4.29,0.9321,1072.8462611307798,* nu. Cep                          
110,104.03426914346416,-17.05423863054111,4.385,0.9453,1057.8652279699565,* iot CMa                          
111,358.59596887604994,57.4993818715,4.59,0.947,1055.9662090813094,* rho Cas                          
112,130.56746881646998,-48.099096702844726,5.468,0.9479,1054.9636037556704,HD 74455                           
113,150.55291666666665,-60.04111111111111,4.2,0.954,1048.2180293501049,NGC 3114                           
114,258.83019944613,-33.54841649417,5.53,0.9543,1047.8885046631037,HD 155806                          
